codigo_ponto_A,codigo_ponto_B,km,tipo_via
3,4,"92,4",BR
4,6,"82,2",BR
6,9,"121,7",BR
41,9,"1,3",BR
22,41,228,BR
41,9,"1,3",
17,22,"33,1",BR
22,41,228,
17,357,60,BR
18,357,"117,2",BR
17,22,"33,1",
18,19,"94,1",BR
17,357,60,
19,60,"69,8",BR
18,357,"117,2",
480,60,"248,1",BR
18,19,"94,1",
44,480,"84,6",BR
27,44,"20,3",BR
27,7,"162,4",BR
56,7,"3,2",BR
19,60,"69,8",
480,60,"248,1",
199,57,"8,3",BR
44,480,"84,6",
199,58,"182,4",BR
143,58,"1,5",BR
27,44,"20,3",
143,38,"214,1",BR
27,7,"162,4",
56,7,"3,2",
116,38,"1,2",BR
56,57,186,BR
116,68,"90,9",BR
183,68,"219,4",BR
199,57,"8,3",
183,36,"67,7",BR
199,58,"182,4",
105,36,"147,8",BR
143,58,"1,5",
105,31,"31,5",BR
101,31,"41,7",Mun
143,38,"214,1",
101,102,"19,3",Mun
116,38,"1,2",
102,14,33,Mun
14,29,20,BR
116,68,"90,9",
183,68,"219,4",
29,49,"32,4",BR
24,49,"162,9",BR
24,39,"9,6",BR
183,36,"67,7",
169,39,"179,1",BR
105,36,"147,8",
169,61,"136,6",BR
193,61,"6,4",BR
105,31,"31,5",
193,30,"141,2",BR
25,30,"170,7",BR
101,31,"41,7",
149,25,"129,6",BR
101,102,"19,3",
149,223,"21,6",BR
218,223,"47,8",BR
102,14,33,
20,218,"34,3",BR
20,76,"93,5",BR
14,29,20,
16,76,"20,9",BR
29,49,"32,4",
24,49,"162,9",
24,39,"9,6",
169,39,"179,1",
169,61,"136,6",
193,61,"6,4",
193,30,"141,2",
25,30,"170,7",
149,25,"129,6",
149,223,"21,6",
218,223,"47,8",
20,218,"34,3",
20,76,"93,5",
16,76,"20,9",
172,76,"49,3",
172,20,"41,1",
149,218,"63,2",
172,20,"41,1",
30,32,"112,1",BR
149,218,"63,2",
32,61,"40,5",
30,32,"112,1",
32,61,"40,5",
169,193,"141,7",
169,24,"174,2",
169,193,"141,7",
24,28,"59,8",BR
169,24,"174,2",
28,49,"101,3",BR
24,28,"59,8",
14,49,"42,5",
28,49,"101,3",
14,49,"42,5",
14,2,3,Mun
14,2,3,
102,2,"29,6",BR
36,68,"287,2",BR
102,2,"29,6",
38,68,"91,1",BR
36,68,"287,2",
38,58,"214,2",BR
38,68,"91,1",
143,57,"189,1",
57,7,"188,1",BR
38,58,"214,2",
27,424,"16,3",BR
143,57,"189,1",
424,480,"86,3",
57,7,"188,1",
27,424,"16,3",
424,480,"86,3",
145,480,"16,2",BR
145,60,"251,6",
145,480,"16,2",
437,60,"1,4",BR
145,60,"251,6",
19,437,"66,5",BR
437,60,"1,4",
176,22,"104,2",BR
19,437,"66,5",
176,9,121,
176,22,"104,2",
467,6,"9,5",Urb
176,9,121,
467,6,"9,5",
3,467,"175,9",BR
3,467,"175,9",
183,38,"291,3",
183,38,"291,3",
105,14,"113,9",
105,14,"113,9",
14,31,"86,4",
101,14,"50,8",
173,9,"122,8",BR
17,173,"207,7",BR
19,480,"317,6",BR
27,480,"100,8",BR
27,54,"251,8",BR
53,54,"88,1",BR
51,53,"69,4",BR
48,51,"83,2",BR
46,48,"169,8",BR
45,46,"164,8",BR
43,45,"53,9",BR
15,43,"168,1",BR
15,35,"251,3",BR
33,35,"71,8",BR
33,70,145,
30,70,"106,4",
223,25,"146,1",BR
173,22,"178,6",BR
145,27,"111,4",
151,54,"3,5",BR
151,53,84,BR
145,44,"95,1",BR
380,43,"7,1",BR
15,380,"167,8",BR
123,15,"115,8",
123,35,"136,5",
193,33,"144,8",
193,70,"34,8",
16,20,"92,2",BR
218,76,122,
32,33,"151,8",BR
380,45,"55,1",
32,70,"6,8",
34,35,"6,5",BR
15,34,248,
46,47,"68,1",
47,48,"101,7",
145,19,"319,3",
3,67,"1,9",
140,3,"200,2",
140,6,"39,3",
173,41,"122,6",BR
146,357,"69,4",BR
146,18,"76,9",BR
151,27,"250,4",
16,40,"10,3",
149,20,"91,6",BR
33,34,"65,9",BR
140,41,"95,3",
140,41,"95,3",
3,6,"174,2",BR
3,6,"174,2",
140,9,"88,2",
44,53,"354,4",
44,51,"426,2",
386,51,"427,4",
386,48,"503,9",
150,480,"226,9",
150,51,"280,2",
46,51,"252,6",BR
26,32,"110,6",BR
46,51,"252,6",
26,30,"4,9",BR
26,32,"110,6",
26,30,"4,9",
150,27,"125,4",BR
27,51,"404,6",
51,54,"158,3",BR
150,53,210,
150,54,"127,4",BR
20,25,"221,6",
27,386,"23,9",BR
386,480,"101,4",
3,388,"358,5",
154,388,75,
154,155,"99,1",
155,157,"146,1",
157,158,"63,5",
158,160,"73,7",
160,161,234,
161,162,6,
162,164,"121,6",
164,166,"112,2",
166,185,"141,6",
185,57,"170,1",
57,58,"190,6",BR
108,58,"224,4",
107,108,"54,6",
107,36,"274,1",
31,36,"179,3",BR
28,29,"132,6",BR
25,32,"281,7",
170,25,106,
170,171,"24,2",
171,20,"95,8",
194,3,"266,4",
194,388,"81,6",
155,156,"52,8",
156,157,"77,9",
158,159,73,
159,160,1,
162,163,"6,3",
163,164,"115,3",
166,398,"930,2",
185,398,"1004,6",
36,50,"0,8",
31,50,"179,5",
105,50,148,
167,185,"1,6",
167,57,"170,6",
24,63,"285,9",
169,63,"202,9",
24,98,"311,9",
169,98,"477,8",
24,438,"198,2",
169,438,"25,4",
438,61,"111,2",
25,70,"274,9",
149,170,"27,4",
149,171,"4,5",
152,76,"59,5",
108,109,"53,1",
109,58,"177,5",
155,158,"98,4",
193,32,"35,4",
28,39,"66,5",
107,183,"206,3",
142,57,"0,4",
142,185,"171,1",
166,167,"140,3",
161,163,"11,8",
437,480,245,
146,19,"172,5",
105,183,"213,6",BR
116,58,"213,2",
199,7,"195,8",
27,56,"163,6",
145,437,"252,8",
41,6,"126,8",BR
200,41,"183,7",
200,6,"66,4",
12,3,"274,2",
11,12,"94,1",
10,11,"134,4",
10,8,11,
59,6,"72,1",
3,59,"102,4",
12,4,"347,8",
4,67,"93,5",
11,403,"79,1",
12,403,"12,2",
6,67,"175,7",
403,6,"418,3",
3,403,"281,7",
467,9,"118,4",
12,67,"272,9",
200,9,"183,9",
200,3,"110,6",
480,65,"2,8",
27,65,"102,9",
424,7,"186,5",
145,424,"96,9",BR
2,29,"19,1",Mun
17,19,"271,9",
17,9,"255,6",
17,18,"177,9",BR
22,9,"224,6",BR
50,9,"1896,1",
50,9,"1896,1",
19,5,"316,4",BR
165,5,273,
165,22,"701,6",
18,22,"178,7",
165,480,"262,3",
101,105,"68,8",BR
101,105,"68,8",
17,176,"135,9",
176,41,"122,4",BR
17,41,"257,2",BR
24,29,187,BR
183,31,"245,1",
102,105,"82,4",
102,31,"54,9",
102,36,"229,5",
50,68,"287,6",
25,26,"174,4",
26,389,"117,2",BR
25,389,"57,8",BR
145,386,"96,2",BR
142,7,188,BR
142,199,"7,8",BR
16,83,"577,6",
165,83,"1403,6",
16,175,"164,6",BR
175,83,413,BR
14,83,"724,9",
120,83,"93,9",BR
120,14,"631,8",
120,123,"223,7",BR
123,14,"408,6",
123,63,"288,6",BR
14,63,120,BR
63,83,605,
123,83,"316,5",BR
