ID_ESQUEMA,NOME_LINHA,HORARIO,SENTIDO
1,FORTALEZA (CE) - RECIFE(PE),18:45,Ida
2,TABOCAS DO BREJO VELHO(BA) - TRINDADE(GO),16:30,Volta
3,FORTALEZA (CE) - RECIFE(PE),09:45,Volta
4,TABOCAS DO BREJO VELHO(BA) - TRINDADE(GO),18:45,Ida
5,NATAL (RN) - SALVADOR (BA),12:00,Ida
6,BRASILIA (DF) - SAO PAULO (SP),18:10,Ida
7,BRASILIA (DF) - TERESINA (PI),19:30,Volta
8,SALVADOR (BA) X RECIFE (PE),07:55,Ida
9,SAO PAULO (SP) - BRASILIA (DF),18:45,Ida
10,NATAL (RN) - SALVADOR (BA),08:00,Ida
11,GOIANIA (GO) - PALMAS (TO),14:00,Ida
12,NATAL (RN) - SAO PAULO (SP),19:00,Ida
13,BRASILIA (DF) - SAO PAULO (SP),20:00,Volta
14,GOIANIA(GO) - BARREIRAS(BA) ,19:15,Volta
15,MACEIO (AL) - SAO PAULO (SP),19:30,Volta
16,PALMAS (TO) - GOIANIA (GO),08:00,Volta
17,FORTALEZA (CE) - RECIFE(PE),11:00,Ida
18,NATAL (RN) - SAO PAULO (SP),21:00,Ida
19,BRASÍLIA (DF) - GOIÂNIA (GO),18:30,Volta
20,SALVADOR (BA) X RECIFE (PE),14:00,Volta
21,FORTALEZA (CE) - RECIFE(PE),17:00,Ida
22,SAO PAULO(SP) - GOIÂNIA (GO) -,20:00,Volta
23,TRINDADE(GO) - CORRENTE(PI),12:30,Volta
24,GOIANIA (GO) - PORTO NACIONAL,14:00,Volta
25,SAO PAULO (SP) - BRASILIA (DF),18:30,Volta
26,NATAL (RN) - SAO PAULO (SP),21:00,Ida
27,SALVADOR (BA) X RECIFE (PE),12:00,Volta
28,BARREIRAS (BA)  - BRASÍLIA (DF),13:00,Ida
29,MACEIO (AL) - SAO PAULO (SP),10:00,Ida
30,BRASÍLIA (DF) - GOIÂNIA (GO),19:00,Volta
31,GOIANIA (GO) - NATAL (RN),21:00,IDA
32,BARREIRAS X GOIÂNIA (BAGO0053051),19:00,Ida
33,GOIANIA(GO) - BARREIRAS(BA) ,14:30,Volta
34,GOIANIA (GO) - PORTO NACIONAL,06:30,Ida
35,GOIÂNIA (GO) - BRASÍLIA (DF),17:00,Volta
36,RECIFE (PE) - SAO PAULO (SP),19:30,Ida
37,NATAL (RN) - SAO PAULO (SP),18:45,Volta
38,FORTALEZA (CE) - RECIFE(PE),22:00,Ida
39,PALMAS (TO) - GOIANIA (GO),08:00,Ida
40,BRASILIA (DF) - SAO PAULO (SP),23:00,Volta
41,MACEIO (AL) - SAO PAULO (SP),13:00,Volta
42,NATAL (RN) - FORTALEZA (CE),18:30,Volta
43,GOIÂNIA (GO) - BRASÍLIA (DF),16:10,Volta
44,SALVADOR (BA) X RECIFE (PE),15:00,Ida
45,FORTALEZA (CE) - RECIFE(PE),15:30,Ida
46,ITACARAMBI (MG) - BRASÍLIA (DF),21:00,Volta
47,GOIANIA (GO) - NATAL (RN),21:10,Ida
48,SALVADOR (BA) - SAO PAULO (SP),21:00,Ida
49,SALVADOR (BA) X RECIFE (PE),17:00,Volta
50,SAO PAULO (SP) - BRASILIA (DF),08:00,Ida
51,CORRENTE(PI) - TRINDADE(GO),16:00,Ida
52,NATAL (RN) - SAO PAULO (SP),16:20,Ida
53,TRINDADE(GO) - TABOCAS DO BREJO VELHO(BA),18:00,Volta
54,FORTALEZA (CE) - RECIFE(PE),16:00,Ida
55,GOIÂNIA (GO) - BRASÍLIA (DF),19:00,Volta
56,SALVADOR (BA) X RECIFE (PE),18:20,Ida
57,GOIANIA(GO) - BARREIRAS(BA) ,18:45,Ida
58,VALPARAÍSO DE GOIÁS (GO) - PALMAS (TO),10:00,Ida
59,GOIANIA (GO) - PALMAS (TO),20:30,Volta
60,GOIANIA (GO) - NATAL (RN),16:00,Ida
61,BRASÍLIA (DF) - BARREIRAS (BA),20:00,Volta
62,TRINDADE(GO) - TABOCAS DO BREJO VELHO(BA),19:15,Ida
63,RECIFE (PE) - SAO PAULO (SP),21:00,IDA
64,GOIANIA (GO) - PALMAS (TO),18:30,Volta
65,BRASILIA X SAO PAULO,18:20,IDA
66,BRASILIA (DF) - BELO HORIZONTE (MG),16:30,Volta
67,NATAL (RN) - SALVADOR (BA),18:20,Ida
68,TABOCAS DO BREJO VELHO(BA) - TRINDADE(GO),16:00,Volta
69,GOIANIA (GO) - NATAL (RN),08:00,Ida
70,GOIÂNIA (GO) - BRASÍLIA (DF),17:45,Ida
71,BRASILIA (DF) - SAO PAULO (SP),13:00,Volta
72,COCOS (BA) - GOIANIA (GO),07:00,Ida
73,BRASILIA (DF) - TERESINA (PI),19:30,Ida
74,BRASÍLIA (DF) - GOIÂNIA (GO),11:00,Ida
75,BELO HORIZONTE (MG) - BRASILIA (DF),10:30,Ida
76,GOIANIA (GO) - NATAL (RN),15:00,Volta
77,NATAL (RN) - SAO PAULO (SP),19:15,Ida
78,SAO PAULO (SP) - BRASILIA (DF),06:30,Volta
79,GOIANIA (GO) - PALMAS (TO),18:10,Ida
80,APODI (RN) - TRINDADE(GO),15:00,Ida
81,SALVADOR (BA) X RECIFE (PE),18:30,Volta
82,BRASÍLIA (DF) - GOIÂNIA (GO),09:00,Volta
83,BRASILIA (DF) - BELO HORIZONTE (MG),18:30,Ida
84,GOIÂNIA (GO) - BRASÍLIA (DF),18:30,Volta
85,BRASÍLIA (DF) - GOIÂNIA (GO),19:15,Volta
86,COCOS (BA) - GOIANIA (GO),22:30,Volta
87,VALPARAÍSO DE GOIÁS (GO) - PALMAS (TO),19:30,Ida
88,SAO PAULO (SP) - BRASILIA (DF),15:00,Ida
89,BELO HORIZONTE (MG) - BRASILIA (DF),02:30,Ida
90,ITACARAMBI (MG) - BRASÍLIA (DF),21:00,Ida
91,UBERLANDIA (MG) - TERESINA (PI),21:00,Ida
92,BARREIRAS (BA)  - BRASÍLIA (DF),19:00,Ida
93,NATAL (RN) - FORTALEZA (CE),10:30,IDA
94,GOIANIA(GO) - BARREIRAS(BA) ,14:30,Volta
95,BRASILIA (DF) - SAO PAULO (SP),17:40,Volta
96,GOIÂNIA (GO) - BRASÍLIA (DF),21:00,Volta
97,BRASÍLIA (DF) - ITACARAMBI (MG),13:00,Volta
98,FORTALEZA (CE) - RECIFE(PE),06:00,Ida
99,UBERLANDIA (MG) - TERESINA (PI),21:00,Ida
100,GOIÂNIA (GO) - SAO PAULO(SP),20:30,Volta
101,SALVADOR (BA) - SAO PAULO (SP),21:00,Volta
102,BRASÍLIA (DF) - BARREIRAS (BA),18:10,Ida
103,PALMAS (TO) - GOIANIA (GO),19:15,Volta
104,SALVADOR (BA) X RECIFE (PE),17:40,Volta
105,PALMAS (TO) - GOIANIA (GO),11:00,Volta
106,BRASÍLIA (DF) - ITACARAMBI (MG),04:00,Volta
107,GOIÂNIA (GO) - BRASÍLIA (DF),15:00,Ida
108,GOIANIA (GO) - NATAL (RN),18:30,Volta
109,BRASÍLIA (DF) - GOIÂNIA (GO),09:00,Ida
110,SALVADOR (BA) X RECIFE (PE),17:00,Ida
111,BRASÍLIA (DF) - GOIÂNIA (GO),01:00,Ida
112,BRASÍLIA (DF) - GOIÂNIA (GO),07:00,Volta
113,NATAL (RN) - SAO PAULO (SP),01:00,Ida
114,GOIÂNIA (GO) - BRASÍLIA (DF),07:00,Volta
115,NATAL (RN) - SAO PAULO (SP),08:00,Ida
116,NATAL (RN) - SAO PAULO (SP),10:30,Ida
117,GOIANIA(GO) - BARREIRAS(BA),17:30,Ida
118,GOIANIA(GO) - BARREIRAS(BA),21:00,Ida
119,NATAL (RN) - SAO PAULO (SP),08:00,Volta
120,NATAL (RN) - SAO PAULO (SP),17:00,Volta
121,RECIFE (PE) - SAO PAULO (SP),06:30,Ida
122,RECIFE (PE) - SAO PAULO (SP),20:00,Volta
123,SAO PAULO (SP) - BELO HORIZONTE (MG),22:00,Ida
124,SAO PAULO (SP) - BELO HORIZONTE (MG),22:00,Volta
