ID_ESQUEMA,ORDEM,ID_PONTO,NOME_PONTO,TIPO,horario_comercial,tempo_local,tipo_trecho
1,1,42,GARAGEM FORTALEZA - CE,Ponto de Fechamento - 1,,,
1,2,8,RODOVIARIA FORTALEZA - CE,Ponto de Controle - 12,,,
1,3,10,RODOVIARIA MESSEJANA CE,Ponto de Controle - 12,,,
1,4,11,RODOVIARIA DE ARACATI - CE,Ponto de Controle - 12,,,
1,5,12,RODOVIARIA MOSSORO - RN,Ponto de Controle - 12,,,
1,6,13,POSTO CHIMARRAO 2 MOSSORO - RN,Ponto de Controle - 12,,,
1,7,50,ALVORADA DO NORTE - GO /CHURRACARIA BEIRA RIO,Ponto de Controle - 12,,,
1,8,198,CHURRASCARIA GUAIBA,Ponto de Controle - 12,,,
1,9,3,RODOVIARIA DE NATAL - RN,Ponto de Controle - 12,,,
1,10,4,CHURRASCARIA CHIMARRAO MATARACA SENTIDO REC,Ponto de Controle - 12,,,
1,11,467,POSTO CHIMARRAO - JOAO PESSOA,Ponto de Controle - 12,,,
1,12,9,RODOVIARIA RECIFE-PE,Ponto de Controle - 12,,,
1,13,41,GARAGEM DE RECIFE - PE,Ponto de Fechamento - 1,,,
29,1,17,RODOVIARIA DE MACEIO - AL,Ponto de Controle - 12,,,
29,2,357,RODOVIARIA DE SAO MIGUEL DOS CAMPOS - AL,Ponto de Controle - 12,,,
29,3,146,RODOVIARIA DE ARAPIRACA-AL,Ponto de Controle - 12,,,
29,4,18,PROPRIA - SE / ROD. CHURR. GRUPO DOIS IRMAOS,Ponto de Controle - 12,,,
29,5,19,RODOVIARIA DE ARACAJU - SE,Ponto de Controle - 12,,,
29,6,60,CHURRASCARIA CACHOREIRA GRILL ESTÂNCIA 1 - SE,Ponto de Controle - 12,,,
29,7,480,SALVADOR - BA / TERMINAL RODOVIAL DE AGUAS CLARAS,Local Não Autorizado - 42,,,
29,8,145,GARAGEM SALVADOR BA,Ponto de Fechamento - 1,,,
29,9,50,ALVORADA DO NORTE - GO /CHURRACARIA BEIRA RIO,Ponto de Controle - 12,,,
29,10,44,POSTO ELITE 2 - AMELIA RODRIGUES BA,Ponto de Controle - 12,,,
29,11,27,RODOVIARIA FEIRA DE SANTANA - BA,Ponto de Controle - 12,,,
29,12,54,RODOVIARIA JEQUIE - BA,Ponto de Controle - 12,,,
29,13,151,RESTAURANTE 2 IRMAOS JEQUIE BA,Ponto de Controle - 12,,,
29,14,53,RODOVIARIA POÇOES - BA,Ponto de Controle - 12,,,
29,15,382,VITORIA DA CONQUISTA - BA /CHURR. MEGA GRILL,Ponto de Controle - 12,,,
29,16,150,REST 2 IRMÃOS MILAGRES BA,Ponto de Controle - 12,,,
29,17,48,RODOVIARIA CANDIDO SALES - BA,Ponto de Controle - 12,,,
29,18,46,RODOVIARIA SALINAS - MG,Ponto de Controle - 12,,,
