Código,Cód. Emb.,Desc. Resumida,Descrição,Unidade Empresarial,Tipo,Ajuste Horário,Raio,Raio Advert.,Vel.,Grupo PC.,Dist. uso vel.,Código externo,Ativo,Pedágio,Rodoviária,Suspensão,Garagem,Online,Auxlilar,Seletivo,Ponto Vel.,Area Vel.,Direções,Latitude,Longitude,Chave,Data Cadastro,Data Alteração
50,49, BEIRA RIO,ALVORADA DO NORTE - GO /CHURRACARIA BEIRA RIO,Kandango Parceiras,Ponto de Controle - 12,0,25,25,10,Não Informado,0.0,-,F,F,N,F,N,T,T,F,F,F,,-14.490464,-46.502394,0,2023-09-20 16:06:10,2025-09-29 17:19:59
165,165,2 IRM CAP,CHURRASCARIA 2 IRMAOS - CAPIM GROSSO - BA,Kandango Parceiras,Ponto de Controle - 12,0,45,45,0,Não Informado,0.0,-,F,F,N,F,N,T,T,F,F,F,,-11.383180,-40.002807,1,2024-10-24 09:31:53,2025-09-17 11:47:49
151,151,2 IRM JQE,RESTAURANTE 2 IRMAOS JEQUIE BA,Kandango Parceiras,Ponto de Controle - 12,0,50,50,0,Não Informado,0.0,-,F,F,N,F,N,T,T,F,F,F,,-13.860564,-40.114129,1,2024-10-17 17:35:30,2025-09-17 11:47:19
163,163,2 IRM JUAZ,CHURRASCARIA 2 IRMÃOS - JUAZEIRO BA,Kandango Parceiras,Ponto de Controle - 12,0,100,100,0,Não Informado,0.0,-,F,F,N,F,N,T,T,F,F,F,,-9.482590,-40.473457,1,2024-10-24 09:19:17,2025-09-17 11:47:33
150,150,2 IRM MLGS,REST 2 IRMÃOS MILAGRES BA,Kandango Parceiras,Ponto de Controle - 12,0,50,50,0,Não Informado,0.0,-,F,F,N,F,N,T,T,F,F,F,,-12.877102,-39.858188,1,2024-10-17 17:22:26,2025-09-17 11:48:19
159,159,2 IRM SALG,CHURRASCARIA ITAMARATY - 2 IRMAOS - SALGUEIRO PE,Kandango Parceiras,Ponto de Controle - 12,0,100,100,0,Não Informado,0.0,-,F,F,N,F,N,T,T,F,F,F,,-8.067108,-39.136022,1,2024-10-22 14:21:29,2025-09-17 11:48:39
207,204,ABADIANIA,RODOVIARIA DE ABADIANIA - GO,Kandango Parceiras,Ponto de Controle - 12,0,20,20,10,Não Informado,0.0,-,F,F,S,F,N,T,F,F,F,F,,-16.194976,-48.708946,0,2025-08-11 11:33:40,2025-09-17 16:05:46
208,205,ABREU E LI,RODOVIARIA DE ABREU E LIMA,Kandango Parceiras,Ponto de Controle - 12,0,50,50,10,Não Informado,0.0,-,F,F,S,F,N,T,F,F,F,F,,-7.921368,-34.895272,0,2025-08-11 11:40:35,2025-09-17 16:07:39
209,206,ACARI - RN,RODOVIARIA DE ACARI - RN,Kandango Parceiras,Ponto de Controle - 12,0,20,20,10,Não Informado,0.0,-,F,F,S,F,N,T,F,F,F,F,,-6.431966,-36.641037,0,2025-08-11 11:44:49,2025-09-17 16:10:27
388,371,AGENCIA ,RODOVIARIA - APODI - RN,Kandango Parceiras,Ponto Auxiliar - 2,0,12,12,10,Não Informado,0.0,-,F,F,N,F,N,T,T,F,F,F,,-5.663956,-37.798842,0,2025-08-25 09:10:25,2025-10-21 16:34:26
