ORIGEM,Tempo de Permanencia,MEDIA_MES_PAX,MEDIA_DIA_PAX,COD_LOCAL
BRASILIA - DF,00:30,13487,449,14
SAO PAULO - SP,00:30,8795,293,16
GOIANIA - GO,00:35,6185,206,24
SALVADOR - BA,00:30,5250,175,5
RECIFE - PE,00:30,4301,143,9
NATAL - RN,00:20,3325,110,3
JOAO PESSOA - PB,00:20,3267,108,6
MACEIO - AL,00:20,3205,106,17
ARACAJU - SE,00:20,3009,100,19
UBERLANDIA - MG,00:30,2512,83,32
BELO HORIZONTE - MG,00:30,2243,74,83
FORTALEZA - CE,00:15,2229,74,8
CAMPINAS - SP,00:30,2130,71,20
BARREIRAS - BA,00:30,1823,60,38
ALVORADA DO NORTE - GO,00:15,1813,60,36
MONTES CLAROS - MG,00:15,1767,58,43
TAGUATINGA - DF,00:15,1292,43,29
RIBEIRAO PRETO - SP,00:20,1268,42,25
FEIRA DE SANTANA - BA,00:15,1259,41,27
LUIS EDUARDO MAGALHAES - BA,00:15,1142,38,68
PALMAS - TO,00:30,863,28,96
CORRENTINA - BA,00:15,835,27,107
UBERABA - MG,00:20,815,27,30
PETROLINA - PE,00:15,769,25,161
GURUPI - TO,00:20,760,25,92
SANTA MARIA DA VITORIA - BA,00:15,742,24,108
ANAPOLIS - GO,00:15,635,21,28
JUAZEIRO DO NORTE - CE,00:15,585,19,157
OSASCO - SP,00:15,530,17,76
PORTO NACIONAL - TO,00:15,529,17,95
ARAPIRACA - AL,00:10,515,17,146
VITORIA DA CONQUISTA - BA,00:20,487,16,51
SANTANA - BA,00:15,447,14,27
CARUARU - PE,00:10,422,14,173
JEQUIE - BA,00:05,395,13,54
SALGUEIRO - PE,00:10,391,13,160
MOSSORO - RN,00:10,389,12,12
PAU DOS FERROS - RN,00:10,355,11,154
COCOS - BA,00:20,256,8,113
CAJAZEIRAS - PB,00:05,233,7,155
PATOS DE MINAS - MG,00:15,232,7,35
JANUARIA - MG,00:15,230,7,77
JUAZEIRO - BA,00:05,230,7,157
VALPARAISO DE GOIAS - GO,00:10,211,7,85
SENHOR DO BONFIM - BA,00:05,179,5,164
TABOCAS DO BREJO VELHO - BA,00:10,170,5,110
POCOES - BA,00:05,158,5,53
SALINAS - MG,00:45,154,5,46
BREJO SANTO - CE,00:05,144,4,158
ITACARAMBI - MG,00:20,136,4,72
JACOBINA - BA,00:05,134,4,166
PATROCINIO - MG,00:05,133,4,33
SERRA DOURADA - BA,00:15,126,4,358
TRINDADE - GO,00:20,116,3,104
APODI - RN,00:05,115,3,388
SEABRA - BA,00:05,110,3,57
SOBRADINHO - DF,00:15,109,3,102
SAO MIGUEL DOS CAMPOS - AL,00:05,108,3,357
ARAGUARI - MG,00:15,91,3,61
CORIBE - BA,00:15,89,2,114
ITABERABA - BA,00:05,87,2,7
JABORANDI - BA,00:10,87,2,115
PLANALTINA - DF,00:15,79,2,332
PIRAPORA - MG,00:15,72,2,15
ARACATI - CE,00:02,66,2,11
IBOTIRAMA - BA,00:05,64,2,58
CAMPINORTE - GO,00:10,46,1,87
CALDAS NOVAS - GO,00:15,37,1,169
CRISTALINA - GO,00:10,36,1,73
AMERICANA - SP,00:05,36,1,218
CANDIDO SALES - BA,00:05,33,1,48
PALMARES - PE,00:05,33,1,176
TALISMA - TO,00:10,32,1,89
MORRO DO CHAPEU - BA,00:05,30,1,185
FORMOSA - GO,00:10,28,0,31
ARARAS - SP,00:05,28,0,223
PROPRIA - SE,00:20,17,0,18
PARACATU - MG,00:15,16,0,74
CORRENTE - PI,00:05,14,0,132
ALIANCA DO TOCANTINS - TO,00:10,14,0,93
PEDRAS DE MARIA DA CRUZ - MG,00:05,13,0,78
MIRABELA - MG,00:05,12,0,81
JUNDIAI - SP,00:05,9,0,172
FRANCISCO SA - MG,00:10,9,0,45
LONTRA - MG,00:05,9,0,79
ALVORADA - TO,00:10,6,0,465
ESTANCIA - SE,00:05,5,0,437
FORMOSA DO RIO PRETO - BA,00:05,5,0,134
JAPONVAR - MG,00:05,4,0,
FIGUEIROPOLIS - TO,00:05,2,0,91
PIRASSUNUNGA - SP,não temos ,1,0,170
LUZIANIA - GO,00:05,1,0,302
APARECIDA DE GOIANIA - GO,00:05,0,0,220
MESSEJANA - CE,00:05,0,0,10
BREJINHO DE NAZARE - TO,00:10,0,0,482
