nome,sigla,codigo,tipo,vel_max_kmh,raio_m,ativo,pedagio,rodoviaria,garagem,lat,lng
ALVORADA DO NORTE - GO /CHURRACARIA BEIRA RIO,BEIRA RIO,50,Ponto de Controle - 12,10,25,false,false,false,false,-14.490464,-46.502394
CHURRASCARIA 2 IRMAOS - CAPIM GROSSO - BA,2 IRM CAP,165,Ponto de Controle - 12,0,45,false,false,false,false,-11.38318,-40.002807
RESTAURANTE 2 IRMAOS JEQUIE BA,2 IRM JQE,151,Ponto de Controle - 12,0,50,false,false,false,false,-13.860564,-40.114129
CHURRASCARIA 2 IRMÃOS - JUAZEIRO BA,2 IRM JUAZ,163,Ponto de Controle - 12,0,100,false,false,false,false,-9.48259,-40.473457
REST 2 IRMÃOS MILAGRES BA,2 IRM MLGS,150,Ponto de Controle - 12,0,50,false,false,false,false,-12.877102,-39.858188
CHURRASCARIA ITAMARATY - 2 IRMAOS - SALGUEIRO PE,2 IRM SALG,159,Ponto de Controle - 12,0,100,false,false,false,false,-8.067108,-39.136022
RODOVIARIA DE ABADIANIA - GO,ABADIANIA,207,Ponto de Controle - 12,10,20,false,false,true,false,-16.194976,-48.708946
RODOVIARIA DE ABREU E LIMA,ABREU E LI,208,Ponto de Controle - 12,10,50,false,false,true,false,-7.921368,-34.895272
RODOVIARIA DE ACARI - RN,ACARI - RN,209,Ponto de Controle - 12,10,20,false,false,true,false,-6.431966,-36.641037
RODOVIARIA - APODI - RN,AGENCIA,388,Ponto Auxiliar - 2,10,12,false,false,false,false,-5.663956,-37.798842
RODOVIARIA DE AGRESTINA - PE,AGRESTINA,210,Ponto de Controle - 12,10,12,false,false,true,false,-8.455531,-35.944957
RODOVIARIA DE AGUA BRANCA,AGUA BRANC,211,Ponto de Controle - 12,0,50,false,false,true,false,-5.881472,-42.63977
RODOVIARIA DE AGUAS LINDAS DE GOIAS,AGUAS LIND,212,Ponto de Controle - 12,10,45,false,false,true,false,-15.714656,-48.288516
RODOVIARIA DE ALAGOINHAS - BA,ALAGOINHAS,213,Ponto de Controle - 12,10,130,false,false,true,false,-12.150509,-38.400408
REST. ALBERTAO - GUIMARANIA - MG,ALBERTA,191,Local Não Autorizado - 42,5,100,false,false,false,false,-18.7978,-46.746123
RODOVIARIA DE ALEM PARAIBA - MG,ALEM PARAI,214,Ponto de Controle - 12,10,50,false,false,true,false,-21.881718,-42.693793
RODOVIARIA DE ALEXANIA - GO,ALEXANIA,215,Ponto de Controle - 12,10,25,false,false,true,false,-16.088433,-48.501017
RODOVIARIA DE ALTOS - PI,ALTOS - PI,216,Ponto de Controle - 12,10,60,false,false,true,false,-5.034075,-42.442119
Estação Rodoviária de Alvorada / Alvorada - TO,AlvoradaTO,465,Ponto de Controle - 12,20,50,false,false,true,false,-12.484208,-49.118336
RODOVIARIA DE AMARANTE - PI,AMARANTE,217,Ponto de Controle - 12,10,30,false,false,true,false,-6.246846,-42.841085
RODOVIARIA DE AMERICANA - SP,AMERICANA,218,Ponto de Controle - 12,10,100,false,false,true,false,-22.734253,-47.310984
RODOVIARIA DE APARECIDA DE GOIANIA - GO,APA - GO,220,Ponto de Controle - 12,10,50,false,false,true,false,-16.833939,-49.246396
RODOVIARIA DE ARACAJU - SE,ARACAJU,19,Ponto de Controle - 12,10,100,false,false,true,false,-10.917032,-37.088186
RODOVIARIA DE ARACATI - CE,ARACATI,11,Ponto de Controle - 12,10,50,false,false,true,false,-4.571442,-37.774531
RODOVIARIA DE ARACI - BA,ARACI - BA,221,Ponto de Controle - 12,10,25,false,false,true,false,-11.3418,-38.960984
RODOVIARIA ARAGUARI - MG,ARAGUARI,61,Ponto de Controle - 12,20,50,false,false,true,false,-18.63954,-48.174921
RODOVIARIA DE ARAPORA - MG,ARAPORÃ,222,Ponto de Controle - 12,10,50,false,false,true,false,-18.42979,-49.191688
RODOVIARIA DE ARARAS - SP,ARARAS SP,223,Ponto de Controle - 12,10,50,false,false,true,false,-22.35963,-47.39163
RODOVIARIA DE ARARIPINA - PE,ARARIPINA,224,Ponto de Controle - 12,10,50,false,false,true,false,-7.57518,-40.510572
RODOVIARIA DE ARUJA - SP,ARUJA - SP,225,Ponto de Controle - 12,10,50,false,false,true,false,-23.394452,-46.324102
POSTO ALTO DA BOA VISTA / SANTA CRUZ DE GOIAS - GO,ATBOAVISTA,442,Local Não Autorizado - 42,0,50,false,false,false,false,-17.469884,-48.757826
POSTO AUXILIAR BARREIRAS - BA,AUX TANQUE,429,Ponto Auxiliar - 2,0,40,false,false,false,false,-12.129371,-45.019177
REST. MAURO BAGATINE - LEME,BAGATINI,149,Local Não Autorizado - 42,0,100,false,false,false,false,-22.2174,-47.391568
